proteinA;proteinB
P38374;Q03406
P38374;P36068
P38374;Q12020
P38374;P52868
P38374;Q06639
P38374;P32833
P38374;Q06505
P38374;Q12066
P38374;P46673
P48559;P52868
P48559;Q03338
P48559;P53159
P48559;P53064
P48559;Q04368
P48559;P25441
P48559;Q08964
P48559;P53038
P48559;P15565
P48559;P27692
P32916;P21957
P32916;Q06835
P32916;P38766
P32916;Q12199
P32916;P53873
P32916;P06839
P32916;Q99190
P32916;P53552
P32916;Q12176
P32916;P50104
P48415;Q00416
P48415;P35194
P48415;P32579
P48415;P54784
P48415;P20676
P48415;Q99207
P48415;P20449
P48415;P49686
P48415;P30665
P48415;P47119
P53845;P40096
P53845;Q06631
P53845;P47019
P53845;P36159
P53845;P25294
P53845;Q06630
P53845;P53973
P53845;P34111
P53845;P30620
P53845;P49775
Q08227;P31244
Q08227;P36131
Q08227;P22148
Q08227;P53277
Q08227;P38129
Q08227;P32504
Q08227;P40327
Q08227;P40318
Q08227;P34161
Q08227;P08458
P16603;P16370
P16603;Q07381
P16603;P40160
P16603;Q04031
P16603;Q04149
P16603;P13902
P16603;P38633
P16603;Q12046
P16603;Q07508
P16603;P38957
P32913;Q08964
P32913;Q04231
P32913;P23179
P32913;P25368
P32913;P38903
P32913;P36049
P32913;P38861
P32913;Q08278
P32913;P13712
P32913;P39735
Q00776;Q12164
Q00776;Q00916
Q00776;P32489
Q00776;P53254
Q00776;Q06511
Q00776;Q02931
Q00776;Q12416
Q00776;P38989
Q00776;Q12050
Q00776;P40051
P38261;Q04739
P38261;Q02516
P38261;P39875
P38261;P53941
P38261;P25454
P38261;P36077
P38261;P39996
P38261;P38074
P38261;Q03532
P38261;P10964
P07560;P12689
P07560;P14242
P07560;P14680
P07560;Q12373
P07560;P38863
P07560;Q04739
P07560;P25359
P07560;Q08465
P07560;P10664
P07560;P47083
P19658;P27476
P19658;P53050
P19658;P50874
P19658;P06777
P19658;Q12495
P19658;Q12406
P19658;P14906
P19658;Q03776
P19658;P32489
P19658;Q03330
P38182;P47128
P38182;P33419
P38182;P53218
P38182;P33201
P38182;P43574
P38182;P40917
P38182;Q03973
P38182;P32529
P38182;P38879
P38182;Q04175
P20606;P36137
P20606;P38324
P20606;P36053
P20606;Q03323
P20606;Q12046
P20606;Q03761
P20606;P40051
P20606;P07276
P20606;Q02206
P20606;Q03957
P38968;P35817
P38968;P38902
P38968;P25382
P38968;P26793
P38968;P34218
P38968;P40057
P38968;Q12753
P38968;P38985
P38968;Q08096
P38968;P22134
P15303;Q12144
P15303;Q06632
P15303;Q04868
P15303;Q07794
P15303;P17629
P15303;P09798
P15303;P39685
P15303;Q03900
P15303;P25451
P15303;P42937
P46989;P37263
P46989;P40154
P46989;P32641
P46989;P21374
P46989;P32570
P46989;P38850
P46989;Q12311
P46989;P38882
P46989;Q12510
P46989;P48567
P17891;P40459
P17891;P47119
P17891;P54790
P17891;P08638
P17891;P25451
P17891;Q06707
P17891;P40063
P17891;Q08387
P17891;Q00684
P17891;P06701
P22137;P20434
P22137;P40303
P22137;P40065
P22137;P27692
P22137;P04786
P22137;P35181
P22137;Q03435
P22137;P32357
P22137;P38337
P22137;P21374
Q06686;Q03455
Q06686;P23293
Q06686;Q12216
Q06686;P32833
Q06686;P46947
Q06686;P25586
Q06686;P19541
Q06686;Q04003
Q06686;P25337
Q06686;P53201
P38263;P40342
P38263;P00958
P38263;P36047
P38263;P38633
P38263;Q06707
P38263;P48412
P38263;P25299
P38263;Q08561
P38263;Q02260
P38263;P29295
P40003;P29055
P40003;P30822
P40003;P38629
P40003;Q08562
P40003;Q08920
P40003;P32569
P40003;P23255
P40003;P32641
P40003;P39521
P40003;Q06211
Q05050;P50104
Q05050;P40565
Q05050;Q99216
Q05050;Q06568
Q05050;P34233
Q05050;P27515
Q05050;P33307
Q05050;Q02792
Q05050;P36121
Q05050;P36068
P46951;P53147
P46951;Q12297
P46951;P41695
P46951;P46957
P46951;Q07471
P46951;P40018
P46951;P53854
P46951;Q03195
P46951;P40507
P46951;P43586
P38839;P32628
P38839;P38772
P38839;Q12035
P38839;P53834
P38839;P38630
P38839;P53914
P38839;Q06142
P38839;P23293
P38839;Q03096
P38839;P40992
Q03308;P36047
Q03308;P35177
Q03308;P26321
Q03308;P34228
Q03308;Q05979
Q03308;P25367
Q03308;P16658
Q03308;P32380
Q03308;P33201
Q03308;P53096
P38164;P47108
P38164;Q12267
P38164;P10961
P38164;P15646
P38164;P46655
P38164;P43634
P38164;P21691
P38164;Q04377
P38164;P32788
P38164;P40963
P38862;Q05854
P38862;Q03705
P38862;P53720
P38862;P26793
P38862;Q03935
P38862;P40078
P38862;P38859
P38862;Q04195
P38862;Q02892
P38862;P43563
P53104;Q08932
P53104;P34909
P53104;P27515
P53104;Q03290
P53104;Q12386
P53104;P40459
P53104;Q08964
P53104;Q12373
P53104;P46669
P53104;P07269
Q06410;Q01159
Q06410;P53060
Q06410;P47069
Q06410;P48240
Q06410;Q12247
Q06410;Q03435
Q06410;P21190
Q06410;P38262
Q06410;Q01722
P39108;Q12418
P39108;P20436
P39108;P38904
P39108;Q99190
P39108;P34730
P39108;Q99190
P39108;P40348
P39108;Q01722
P39108;Q05021
P39108;P38282
P35056;P26309
P35056;P25367
P35056;Q06623
P35056;P40154
P35056;P40473
P35056;P07884
P35056;Q12172
P35056;P32379
P35056;P14291
P35056;P40068
P39518;P32489
P39518;P23255
P39518;Q12107
P39518;Q04052
P39518;P33749
P39518;Q12400
P39518;Q02630
P39518;P32523
P39518;Q02260
P39518;P40303
Q04311;Q08964
Q04311;P25611
Q04311;P18412
Q04311;Q12182
Q04311;P40318
Q04311;P38283
Q04311;Q02574
Q04311;P38207
Q04311;P23179
Q04311;P46959
P53088;P36048
P53088;P18410
P53088;P23293
P53088;P32354
P53088;P47118
P53088;Q06630
P53088;P36121
P53088;Q08683
P53088;P38803
P53088;P47019
P41911;P11633
P41911;Q05543
P41911;Q04693
P41911;Q05021
P41911;P35728
P41911;Q12158
P41911;Q08237
P41911;P25368
P41911;Q12488
P41911;Q04305
Q05930;Q04031
Q05930;Q99177
Q05930;Q12136
Q05930;P38208
Q05930;Q12530
Q05930;P43618
Q05930;P40041
Q05930;Q12522
Q05930;P26793
Q05930;P07834
P47139;P06105
P47139;P38882
P47139;P25451
P47139;P39081
P47139;P40460
P47139;P46997
P47139;P33399
P47139;P06242
P47139;Q05043
P47139;P38911
P50896;P38801
P50896;P38634
P50896;Q12102
P50896;Q08963
P50896;P21951
P50896;Q12297
P50896;P23394
P50896;P32836
P50896;Q12247
P50896;P38953
P40202;P35189
P40202;Q12416
P40202;Q02642
P40202;Q06214
P40202;P40917
P40202;P28000
P40202;P23639
P40202;P39735
P40202;P40568
P40202;P38278
P36152;Q03920
P36152;P36080
P36152;P32807
P36152;Q03012
P36152;P38883
P36152;Q12354
P36152;P25042
P36152;P36131
P36152;Q02457
P36152;Q08001
Q05785;P32641
Q05785;P40327
Q05785;P39735
Q05785;P35178
Q05785;P53196
Q05785;P47123
Q05785;P53067
Q05785;Q08601
Q05785;P17442
Q05785;P15436
P47057;Q03790
P47057;P32566
P47057;P21827
P47057;Q06168
P47057;Q06053
P47057;P39073
P47057;P38904
P47057;P14164
P47057;P38217
P47057;P46959
P22213;Q00578
P22213;Q02884
P22213;P38953
P22213;P26786
P22213;P38203
P22213;P43583
P22213;P53201
P22213;Q06707
P22213;P54860
P22213;Q12186
P38758;Q05515
P38758;Q12297
P38758;P40072
P38758;Q02775
P38758;P40038
P38758;P47037
P38758;P53829
P38758;P38140
P38758;Q03010
P38758;Q99257
P53286;Q06667
P53286;P40368
P53286;P39979
P53286;Q08955
P53286;Q04673
P53286;P34072
P53286;P39015
P53286;P40547
P53286;P39943
P53286;P36168
P32571;P36047
P32571;P12887
P32571;P36131
P32571;P39940
P32571;P27999
P32571;P31378
P32571;Q08457
P32571;P04050
P32571;P31115
P32571;P32447
P11075;P40070
P11075;Q05016
P11075;P32899
P11075;Q12468
P11075;P43551
P11075;Q03010
P11075;Q06053
P11075;P54790
P11075;Q06707
P11075;Q01649
P32893;Q06142
P32893;Q12136
P32893;P48581
P32893;P25615
P32893;P07250
P32893;P38203
P32893;Q06596
P32893;P35187
P32893;P22141
P32893;P17442
Q12191;P40352
Q12191;Q03973
Q12191;P89114
Q12191;P53298
Q12191;P32790
Q12191;P40348
Q12191;P46970
Q12191;P32805
Q12191;P53218
Q12191;Q12748
Q04410;P21957
Q04410;P31111
Q04410;P53895
Q04410;P23639
Q04410;P53958
Q04410;P22515
Q04410;P06105
Q04410;Q08492
Q04410;Q05043
Q04410;P40317
P53622;Q07844
P53622;P47083
P53622;P38255
P53622;Q07980
P53622;P40160
P53622;P32773
P53622;P41920
P53622;P20434
P53622;Q08182
P53622;P39707
P32074;P40362
P32074;P53168
P32074;P34160
P32074;P19880
P32074;P32354
P32074;P10964
P32074;Q06152
P32074;P35718
P32074;P26786
P32074;P22336
Q06704;P35177
Q06704;P37261
Q06704;Q04005
Q06704;P38915
Q06704;P40028
Q06704;P36093
Q06704;P18494
Q06704;P48240
Q06704;P31384
Q06704;Q04031
Q92331;P53895
Q92331;P25615
Q92331;P38073
Q92331;P53196
Q92331;P42935
Q92331;Q06091
Q92331;P06786
Q92331;Q12493
Q92331;P17442
Q92331;P41895
P53843;P53336
P53843;Q08956
P53843;Q03497
P53843;P09938
P53843;P40018
P53843;P48581
P53843;P40090
P53843;P29496
P53843;P25582
P53843;Q06078
Q02767;Q05515
Q02767;P53281
Q02767;Q12156
Q02767;P20134
Q02767;Q08119
Q02767;P38770
Q02767;Q06213
Q02767;P36023
Q02767;Q05022
Q02767;P36168
P25604;Q99288
P25604;P41896
P25604;P06774
P25604;P25046
P25604;Q03435
P25604;Q12146
P25604;Q05905
P25604;Q03862
P25604;P52868
P25604;P13574
P48582;P53197
P48582;P04051
P48582;Q03012
P48582;Q03774
P48582;P38699
P48582;Q12009
P48582;Q06148
P48582;P22803
P48582;P32892
P48582;Q12063
P40970;P53323
P40970;P38863
P40970;Q03455
P40970;P38786
P40970;P32605
P40970;P53313
P40970;P47093
P40970;P19736
P40970;P22134
P40970;Q06632
Q12154;P22108
Q12154;Q02685
Q12154;P38826
Q12154;P29547
Q12154;P14680
Q12154;Q06224
Q12154;P38121
Q12154;P39705
Q12154;P32657
Q12154;P40547
P25045;P34162
P25045;Q06091
P25045;P36047
P25045;P47076
P25045;P03871
P25045;Q12161
P25045;P34730
P25045;P29468
P25045;P12887
P25045;Q12420
P25491;Q06665
P25491;Q02455
P25491;P53236
P25491;P32579
P25491;P18412
P25491;P46984
P25491;Q02721
P25491;Q03280
P25491;P32349
P25491;P10080
Q12123;Q02959
Q12123;P26793
Q12123;Q02554
Q12123;P40326
Q12123;Q02908
Q12123;P11938
Q12123;P38324
Q12123;Q08287
Q12123;P20050
Q12123;P38351
P22147;P15436
P22147;P13574
P22147;P53115
P22147;P36070
P22147;P53905
P22147;P32597
P22147;Q03012
P22147;P53942
P22147;P15938
P22147;P38789
P53904;P32342
P53904;P53942
P53904;Q12378
P53904;Q06217
P53904;P32773
P53904;P53298
P53904;Q12330
P53904;P38911
P53904;P39015
P53904;Q05027
P43638;Q12156
P43638;Q12748
P43638;P40359
P43638;P53836
P43638;P21657
P43638;O13539
P43638;Q04031
P43638;P25454
P43638;Q06106
P43638;P40422
P13186;P40066
P13186;P38989
P13186;P53836
P13186;Q06168
P13186;P38624
P13186;P49686
P13186;Q04636
P13186;P32447
P13186;P25651
P13186;Q12345
P32855;Q08208
P32855;Q12734
P32855;P47171
P32855;P39943
P32855;P39113
P32855;Q07350
P32855;Q06148
P32855;Q12415
P32855;P38633
P32855;Q12386
P22224;P53102
P22224;Q03063
P22224;P53136
P22224;P21242
P22224;P19736
P22224;P27999
P22224;P25693
P22224;P23179
P22224;Q12345
P22224;Q12468
P07866;Q03465
P07866;P43609
P07866;Q08887
P07866;P38806
P07866;P50278
P07866;P27344
P07866;P06104
P07866;P34909
P07866;P06102
P07866;Q03774
P53890;P36048
P53890;Q04712
P53890;P25611
P53890;P53159
P53890;P38805
P53890;Q02336
P53890;P47027
P53890;P40546
P53890;Q12244
P53890;P38989
P35688;P32526
P35688;P40484
P35688;Q04231
P35688;P50104
P35688;P38198
P35688;P00958
P35688;P40532
P35688;Q12084
P35688;Q08965
P35688;Q12046
Q12344;P38712
Q12344;P38111
Q12344;Q05541
Q12344;P39009
Q12344;P53236
Q12344;P38265
Q12344;P54000
Q12344;P40957
Q12344;Q04491
Q12344;P40084
Q07533;P15565
Q07533;P50105
Q07533;P22148
Q07533;Q06211
Q07533;P25635
Q07533;P40493
Q07533;Q05027
Q07533;P33400
Q07533;P38688
Q07533;P40553
P38636;P25294
P38636;P53742
P38636;Q12020
P38636;P14922
P38636;P42935
P38636;P53147
P38636;Q03941
P38636;P40454
P38636;P20095
P38636;P47069
P33331;Q06707
P33331;P38806
P33331;P28519
P33331;Q08387
P33331;Q92317
P33331;Q06672
P33331;P39678
P33331;P07273
P33331;P32357
P33331;P40318
P40347;P39929
P40347;P12954
P40347;P41895
P40347;Q07938
P40347;P32357
P40347;P28320
P40347;Q03262
P40347;P38439
P40347;P38781
P40347;P25043
P34760;Q02775
P34760;Q03338
P34760;Q03262
P34760;P25627
P34760;P38772
P34760;P50105
P34760;P53632
P34760;P14906
P34760;Q04930
Q12434;Q12297
Q12434;Q07623
Q12434;Q07684
Q12434;P10080
Q12434;P32628
Q12434;Q12009
Q12434;Q02775
Q12434;Q12045
Q12434;P40554
Q12434;P52488
P14306;Q08964
P14306;P41812
P14306;P46984
P14306;Q06188
P14306;P38632
P14306;Q99190
P14306;Q08387
P14306;Q08119
P14306;Q03220
P14306;P40532
P07283;Q02959
P07283;P33201
P07283;P35718
P07283;Q02890
P07283;P53261
P07283;Q12224
P07283;P40366
P07283;P38872
P07283;P32569
P07283;P39713
Q99219;Q12285
Q99219;Q03406
Q99219;P38699
Q99219;Q08235
Q99219;Q03264
Q99219;P52488
Q99219;P32566
Q99219;Q12049
Q99219;P32367
Q99219;P06701
P38913;P40992
P38913;P38429
P38913;P53091
P38913;Q04179
P38913;P24482
P38913;P20435
P38913;P33895
P38913;P40465
P38913;P38768
P38913;P21372
P14065;P53895
P14065;P27344
P14065;P46947
P14065;P40068
P14065;Q06032
P14065;Q02516
P14065;P53061
P14065;P53168
P14065;P38827
P14065;P40018
P38011;Q02685
P38011;P53197
P38011;P34111
P38011;P40160
P38011;Q12211
P38011;Q07442
P38011;Q12247
P38011;P34233
P38011;P47149
P38011;P38811
P00358;P42842
P00358;Q08647
P00358;Q08920
P00358;P53303
P00358;P40038
P00358;P32783
P00358;P21372
P00358;Q02749
P00358;P22336
P00358;Q06287
P25044;P48567
P25044;P53919
P25044;Q12343
P25044;Q03707
P25044;Q12309
P25044;Q07532
P25044;Q12159
P25044;P53043
P25044;Q99207
P25044;Q06835
P05150;Q03776
P05150;P25337
P05150;Q06411
P05150;P39516
P05150;P40072
P05150;Q06078
P05150;P53091
P05150;P33748
P05150;P36136
P05150;Q06053
P38115;Q99181
P38115;Q03981
P38115;P39001
P38115;P33122
P38115;P25586
P38115;P53254
P38115;P46962
P38115;Q12513
P38115;P53076
P38115;P38777
P08524;Q99190
P08524;P32774
P08524;P32774
P08524;Q03834
P08524;P47174
P08524;P24384
P08524;P38859
P08524;P40454
P08524;P38149
P08524;P53196
P04173;Q12151
P04173;P39685
P04173;P41813
P04173;Q12509
P04173;P06844
P04173;P35177
P04173;Q08977
P04173;Q08977
P04173;Q04031
P04173;P32786
P22133;P15436
P22133;P40038
P22133;P34228
P22133;P38858
P22133;P29055
P22133;P36009
P22133;P35178
P22133;Q12432
P22133;P42842
P22133;P12954
P38986;Q12748
P38986;P38712
P38986;Q04373
P38986;P11938
P38986;Q04217
P38986;P42073
P38986;Q12499
P38986;Q00947
P38986;P53127
P38986;Q02100
P31373;P47083
P31373;P38265
P31373;P39705
P31373;P32318
P31373;Q08887
P31373;Q03677
P31373;Q08162
P31373;P53829
P31373;P46995
P31373;P40051
P41338;P53317
P41338;Q12004
P41338;Q04930
P41338;P34162
P41338;Q12348
P41338;Q04673
P41338;Q03497
P41338;P53720
P41338;P32774
P41338;P32579
P11745;P38863
P11745;P38628
P11745;P39678
P11745;P53866
P11745;P40010
P11745;P34234
P11745;P38883
P11745;P53043
P11745;P40459
P11745;P33203
P07991;P40041
P07991;Q04675
P07991;Q12024
P07991;Q03305
P07991;Q02796
P07991;P52891
P07991;Q12018
P07991;P25588
P07991;P38319
P32264;P19736
P32264;P03872
P32264;P36118
P32264;P36023
P32264;Q12460
P32264;Q02983
P32264;Q06667
P32264;P40069
P32264;P40917
P32264;P40018
P29952;P40993
P29952;Q03760
P29952;P38074
P29952;Q03338
P29952;P38751
P29952;P32447
P29952;P38210
P29952;P31380
P29952;P14736
P29952;P36009
Q12109;P43560
Q12109;P22138
Q12109;Q12311
Q12109;P25336
Q12109;P40498
Q12109;P40078
Q12109;P39008
Q12109;Q02732
Q12109;Q03220
Q12109;P40167
P54787;P06704
P54787;P41896
P54787;P40007
P54787;P06785
P54787;Q12267
P54787;Q07897
P54787;Q02721
P54787;Q05515
P54787;P40303
P54787;P38302
P07284;P53243
P07284;P20676
P07284;P38140
P07284;P23394
P07284;P36159
P07284;P08638
P07284;P38429
P07284;P32179
P07284;Q99177
P07284;P32447
P16639;Q99190
P16639;P13393
P16639;P53330
P16639;P22516
P16639;P53307
P16639;P54730
P16639;P40460
P16639;Q06596
P16639;Q03532
P16639;P46674
P15625;Q03096
P15625;Q08956
P15625;P41814
P15625;P39009
P15625;P53551
P15625;Q06631
P15625;P25367
P15625;Q12049
P15625;Q12192
P15625;P38766
P39076;P25298
P39076;Q05541
P39076;P53958
P39076;Q12530
P39076;P53165
P39076;P14682
P39076;P53718
P39076;Q02890
P39076;P43587
P39076;P40917
P39078;P40026
P39078;Q12514
P39078;Q08237
P39078;Q03957
P39078;Q08977
P39078;P32892
P39078;Q04087
P39078;Q12102
P39078;P38985
P39078;P25332
P11986;P32641
P11986;Q99188
P11986;P40060
P11986;Q03018
P11986;P39014
P11986;P42846
P11986;Q02959
P11986;Q06142
P11986;P30656
P11986;P38255
P39077;Q08421
P39077;P32526
P39077;P47047
P39077;P20434
P39077;P36421
P39077;O13329
P39077;P38737
P39077;P40422
P39077;P32523
P39077;P41813
P20424;Q05949
P20424;Q12098
P20424;Q03063
P20424;P32657
P20424;P18412
P20424;P16522
P20424;Q12182
P20424;P06100
P20424;P38144
P20424;P40070
P39079;Q12754
P39079;P38132
P39079;P38770
P39079;Q10740
P39079;P25648
P39079;P39929
P39079;Q12339
P39079;P17442
P39079;P25648
P39079;P54784
P12709;P47822
P12709;P06782
P12709;P53050
P12709;P38333
P12709;P43560
P12709;P53971
P12709;P40498
P12709;P40473
P12709;P06786
P12709;Q02629
P38707;P0C0W9
P38707;Q04675
P38707;Q08955
P38707;P20484
P38707;P38110
P38707;Q06214
P38707;P53280
P38707;P21269
P38707;Q03503
P04802;Q06213
P04802;P38326
P04802;P38989
P04802;Q02890
P04802;P40541
P04802;Q12199
P04802;P38996
P04802;P36048
P04802;P18480
P04802;P38351
P12612;P25847
P12612;Q12040
P12612;P50947
P12612;P25635
P12612;Q08966
P12612;Q03525
P12612;P40362
P12612;Q06213
P12612;Q12417
P12612;P35732
P40413;P25847
P40413;P15436
P40413;P32628
P40413;P39996
P40413;Q06596
P40413;P25649
P40413;Q02721
P40413;P53091
P40413;P29056
P40413;Q03373
P20485;P53332
P20485;Q02206
P20485;P47096
P20485;P38633
P20485;Q08096
P20485;P46962
P20485;P39516
P20485;Q03213
P20485;Q12208
P20485;Q99190
P15180;P38793
P15180;P40553
P15180;P23179
P15180;P40348
P15180;Q06616
P15180;Q05043
P15180;P17214
P15180;Q12378
P15180;P22696
P15180;P36161
P15624;P40167
P15624;Q06205
P15624;Q02931
P15624;P32349
P15624;Q12510
P15624;P53040
P15624;P32899
P15624;Q12098
P15624;Q04601
P15624;P40362
P25375;Q12330
P25375;Q12749
P25375;P38915
P25375;P38324
P25375;P53032
P25375;P23293
P25375;P38751
P25375;P38237
P25375;P40522
P25375;P34072
P04801;P43579
P04801;P40106
P04801;Q06506
P04801;P25569
P04801;P53749
P04801;P32639
P04801;P32569
P04801;P21657
P04801;P38262
P18759;Q03214
P18759;Q12161
P18759;P53280
P18759;P07703
P18759;Q12216
P18759;Q12176
P18759;P25382
P18759;P53038
P18759;P32774
P18759;P32899
P32844;P12954
P32844;Q05900
P32844;P40154
P32844;P43582
P32844;Q03455
P32844;Q99383
P32844;P40060
P32844;P53082
P32844;Q12046
P32844;Q06631
P32917;Q04659
P32917;Q07551
P32917;P48240
P32917;P25294
P32917;P21243
P32917;P40477
P32917;P52891
P32917;Q04601
P32917;Q12499
P32917;P12904
P09436;P32862
P09436;Q08032
P09436;P34221
P09436;P21827
P09436;Q03067
P09436;P40078
P09436;P53829
P09436;P38957
P09436;P40473
P09436;P53043
P26637;P31378
P26637;P28320
P26637;P50874
P26637;Q05123
P26637;Q05043
P26637;Q02794
P26637;P38889
P26637;Q07508
P26637;P33399
P26637;P32379
P32873;Q04847
P32873;P04819
P32873;P39996
P32873;P40208
P32873;Q99288
P32873;P22148
P32873;P42845
P32873;P40963
P32873;Q07979
P32873;P43563
P32327;P40554
P32327;P38838
P32327;P53333
P32327;P15315
P32327;Q06675
P32327;Q06102
P32327;P09959
P32327;P40348
P32327;P32914
P32327;P38956
P38972;P50102
P38972;P16658
P38972;P17106
P38972;P43551
P38972;P41920
P38972;P38863
P38972;Q12035
P38972;Q02732
P38972;Q06164
P38972;O13577
P08566;P36088
P08566;Q07915
P08566;Q02983
P08566;P40963
P08566;P38628
P08566;Q03941
P08566;Q06338
P08566;P40993
P08566;Q06632
P08566;P39521
Q04432;P38302
Q04432;Q06053
Q04432;P47083
Q04432;P11746
Q04432;Q04500
Q04432;P38198
Q04432;P53256
Q04432;P22035
Q04432;P07249
Q04432;P07270
P39998;Q03533
P39998;Q12291
P39998;Q04031
P39998;Q02732
P39998;Q04712
P39998;P42945
P39998;Q04178
P39998;P47069
P39998;P38121
P39998;Q03010
P53550;P40352
P53550;Q07980
P53550;Q01454
P53550;Q12389
P53550;P38114
P53550;Q04839
P53550;Q12094
P53550;Q01722
P53550;P54999
P53550;Q12242
P39517;P53289
P39517;P25368
P39517;Q12330
P39517;Q06102
P39517;P06700
P39517;Q03705
P39517;P32570
P39517;P42845
P39517;P17890
P39517;P35187
Q12517;P32495
Q12517;P53150
Q12517;P06843
Q12517;P53150
Q12517;P53863
Q12517;P21190
Q12517;Q02884
Q12517;P40546
Q12517;Q03290
Q12517;Q04178
P39993;Q03262
P39993;P35177
P39993;Q06213
P39993;Q08904
P39993;P40469
P39993;P50623
P39993;P32480
P39993;Q08956
P39993;P32529
P39993;Q02749
P38818;P20433
P38818;P40089
P38818;P40505
P38818;P39715
P38818;P32479
P38818;Q08961
P38818;Q05043
P38818;P40422
P38818;P38827
P38818;Q12055
P07170;P15565
P07170;Q12468
P07170;P25649
P07170;P33418
P07170;P40481
P07170;Q01080
P07170;P47077
P07170;Q12507
P07170;Q06682
P07170;Q12041
P53058;P33122
P53058;P06774
P53058;P49704
P53058;Q03063
P53058;P39073
P53058;P35203
P53058;P40356
P53058;P21657
P53058;P38803
P53058;P31380
P35691;P38141
P35691;P38074
P35691;Q03935
P35691;P33419
P35691;Q12159
P35691;Q03533
P35691;P32807
P35691;Q02770
P35691;Q06148
P35691;P32773
P25386;P49957
P25386;P11633
P25386;P32558
P25386;P41813
P25386;P40160
P25386;P32910
P25386;Q08977
P25386;Q04659
P25386;P26321
P25386;P32499
P38200;P52553
P38200;Q08287
P38200;P40160
P38200;Q04087
P38200;Q06339
P38200;P47047
P38200;Q99257
P38200;P21691
P38200;P38333
P38200;Q12406
P46680;Q02821
P46680;Q12754
P46680;Q07980
P46680;Q12753
P46680;Q04213
P46680;P22149
P46680;Q12244
P46680;Q06629
P46680;Q05905
P46680;P36136
Q05080;P38285
Q05080;P53067
Q05080;Q04048
Q05080;P53687
Q05080;Q08956
Q05080;P38630
Q05080;P19263
Q05080;P25627
Q05080;Q02685
Q05080;P47116
Q02647;Q06218
Q02647;Q12748
Q02647;Q02100
Q02647;P23624
Q02647;P43554
Q02647;Q04264
Q02647;Q07915
Q02647;P25382
Q02647;P21243
Q02647;P38073
P48606;P06242
P48606;P32567
P48606;Q02749
P48606;Q12041
P48606;Q03957
P48606;P38632
P48606;Q08119
P48606;P21190
P48606;P43609
P48606;P40957
P07274;Q12179
P07274;P36077
P07274;P40546
P07274;P14164
P07274;P53267
P07274;Q12052
P07274;P20435
P07274;P43551
P07274;Q03776
P07274;Q07589
P25343;P53147
P25343;Q06164
P25343;P40034
P25343;Q08387
P25343;P35178
P25343;P38757
P25343;P38042
P25343;Q08685
P25343;P53883
P25343;P32504
P46670;P40469
P46670;Q04636
P46670;Q02793
P46670;Q03677
P46670;P52891
P46670;P40465
P46670;P06104
P46670;P54784
P46670;Q12318
P46670;P53125
P40013;Q04226
P40013;P20447
P40013;Q04195
P40013;Q03957
P40013;P32626
P40013;Q12060
P40013;Q03790
P40013;P39956
P40013;P39744
P40013;P50104
P02557;P16649
P02557;Q06835
P02557;P38262
P02557;P22139
P02557;Q04195
P02557;P32849
P02557;P32389
P02557;Q12398
P02557;Q06639
P02557;P25569
P39743;Q12389
P39743;P40339
P39743;Q04383
P39743;Q03718
P39743;P33895
P39743;Q04199
P39743;P36023
P39743;P47019
P39743;P53727
P39743;P22276
P29366;P40366
P29366;P37838
P29366;P37261
P29366;P32805
P29366;Q12182
P29366;P25693
P29366;P38881
P29366;P42937
P29366;P40573
P29366;P46946
P39969;P34241
P39969;Q99288
P39969;P47110
P39969;P39113
P39969;Q07897
P39969;Q12318
P39969;Q99383
P39969;P25586
P39969;P38770
P39969;Q08287
P28742;P03871
P28742;P39682
P28742;P54860
P28742;P53437
P28742;Q08421
P28742;P40917
P28742;P47047
P28742;Q08963
P28742;P33411
P28742;Q01080
P27895;P14682
P27895;P25293
P27895;P53867
P27895;Q08001
P27895;Q08962
P27895;Q12267
P27895;P21957
P27895;P40007
P27895;Q02554
P27895;P38877
P27636;P40059
P27636;P09119
P27636;P46995
P27636;P34233
P27636;Q04048
P27636;P32841
P27636;Q04377
P27636;P32480
P27636;P14284
P27636;P48581
P26448;P38217
P26448;P21691
P26448;Q12080
P26448;P32529
P26448;P38170
P26448;P40032
P26448;Q03067
P26448;Q03466
P26448;Q99257
P26448;P05759
P47113;Q08904
P47113;P19659
P47113;P54784
P47113;P02293
P47113;P10862
P47113;P07272
P47113;Q04746
P47113;Q04307
P47113;Q99383
P47113;Q04712
Q12369;Q04739
Q12369;P46674
Q12369;Q08387
Q12369;P07272
Q12369;P53883
Q12369;P14064
Q12369;P38144
Q12369;Q06706
Q12369;Q12334
Q12369;P38199
P53892;O13563
P53892;P35734
P53892;P52593
P53892;P38751
P53892;Q07923
P53892;Q03920
P53892;P12904
P53892;P14682
P53892;P32432
P53892;Q07913
P50275;P34161
P50275;P39520
P50275;Q12291
P50275;P32836
P50275;P25293
P50275;P40489
P50275;Q02629
P50275;Q05979
P50275;P38881
P50275;P34247
P46675;O13297
P46675;P11633
P46675;Q06406
P46675;P35203
P46675;P22579
P46675;P53863
P46675;P36120
P46675;Q06164
P46675;P22204
P46675;P25635
P11709;P14680
P11709;P22276
P11709;P38687
P11709;P39113
P11709;P14907
P11709;P04386
P11709;Q03935
P11709;P10964
P11709;P06778
P11709;P24309
P11927;P46957
P11927;Q02516
P11927;P20053
P11927;P30620
P11927;Q12099
P11927;Q06163
P11927;P32944
P11927;Q12021
P11927;Q12389
P11927;P39956
P53378;P32914
